message,signature,duration
4112,4200,74336000
6380,5066,77439000
6889,7729,66404000
7144,9292,73327000
6085,2598,62215000
748,9648,98037000
2806,480,85799000
2875,8792,73998000
3936,9446,87127000
9224,675,72134000
5399,9553,90209000
5494,741,81840000
3906,7393,76306000
4028,1145,82410000
9633,9561,82735000
2188,2643,64352000
6874,2094,84624000
8749,5478,66021000
7497,3738,70512000
2861,5601,79568000
1570,7690,75588000
9175,9396,86953000
4582,5907,85748000
8652,4120,80933000
203,8047,72825000
7012,2186,79787000
8894,6541,63576000
4152,633,61464000
2100,1241,70828000
3443,5019,73981000
7299,539,55880000
1144,5883,68574000
9032,2457,65009000
3517,3638,68435000
277,9564,58151000
1014,4950,79925000
6836,213,72900000
681,2879,82352000
3236,9347,78919000
3154,8666,55858000
6778,105,62032000
1453,8664,72574000
4765,7073,56160000
8270,8003,72209000
6317,6394,73179000
3236,9347,76835000
1336,5163,79127000
1993,773,61015000
4096,9775,65273000
6027,4599,67168000
7519,5562,66802000
9005,7388,59709000
5483,7838,70908000
3898,5362,85990000
2832,8776,63265000
2528,2322,49047000
3240,4476,54432000
9676,431,68319000
672,8531,84496000
4355,2836,70251000
4215,7084,64724000
3608,2665,92079000
4090,7550,53227000
4380,2248,60598000
3368,5123,58773000
1403,9284,77353000
61,4426,68059000
9488,7927,72138000
7082,6112,76050000
8030,71,70102000
7287,5327,81519000
2485,7219,69099000
7144,9292,62035000
8630,2090,67808000
8,7748,76915000
2996,1714,63362000
7080,7759,57736000
6746,9600,70878000
5547,997,85694000
4463,1553,76101000
652,2892,65486000
6344,1954,74237000
9317,6021,95736000
1322,6657,82512000
2209,9625,79767000
3266,9301,63415000
4616,4061,62184000
7125,2719,89277000
9288,6736,75141000
4269,4269,85493000
8429,9335,74495000
3586,5194,71265000
344,7951,67064000
4574,6904,83076000
6367,353,64190000
6742,6330,75996000
4946,2521,122394000
7344,336,79009000
5178,6652,73985000
6312,2527,85520000
3585,8448,87213000
6185,7770,88929000
1770,8299,77944000
9529,7071,73573000
7097,7065,68708000
905,1369,78216000
4629,1049,74345000
6459,2606,94721000
2176,4335,79681000
9722,4537,78556000
8106,5947,77179000
4224,6593,88910000
2944,9914,76558000
9480,7448,63838000
4854,9691,66822000
4507,3949,90031000
5105,7433,69138000
646,1502,84491000
3210,9308,53452000
8629,9515,90219000
6898,8665,78265000
4526,3830,74054000
9896,9087,83181000
2735,8194,74515000
5834,9351,63968000
8863,4886,63967000
2784,1223,71912000
2606,542,75373000
5870,3913,57722000
1170,6202,64814000
8273,6745,80776000
3628,2536,69660000
9209,5050,71080000
6701,8427,74474000
2634,8165,80516000
2175,4425,70795000
4493,6400,88025000
14
